"date","confirmed","deaths"
2020-01-22,,
2020-01-23,0.0,0.0
2020-01-24,0.0,0.0
2020-01-25,0.0,0.0
2020-01-26,0.0,0.0
2020-01-27,0.0,0.0
2020-01-28,0.0,0.0
2020-01-29,0.0,0.0
2020-01-30,0.0,0.0
2020-01-31,2.0,0.0
2020-02-01,0.0,0.0
2020-02-02,0.0,0.0
2020-02-03,6.0,0.0
2020-02-04,0.0,0.0
2020-02-05,1.0,0.0
2020-02-06,0.0,0.0
2020-02-07,0.0,0.0
2020-02-08,4.0,0.0
2020-02-09,1.0,0.0
2020-02-10,0.0,0.0
2020-02-11,1.0,0.0
2020-02-12,1.0,0.0
2020-02-13,1.0,0.0
2020-02-14,1.0,0.0
2020-02-15,0.0,0.0
2020-02-16,0.0,0.0
2020-02-17,1.0,0.0
2020-02-18,0.0,0.0
2020-02-19,1.0,0.0
2020-02-20,2.0,0.0
2020-02-21,1.0,0.0
2020-02-22,0.0,0.0
2020-02-23,5.0,0.0
2020-02-24,2.0,0.0
2020-02-25,4.0,0.0
2020-02-26,3.0,0.0
2020-02-27,7.0,0.0
2020-02-28,12.0,0.0
2020-02-29,5.0,0.0
2020-03-01,33.0,0.0
2020-03-02,40.0,0.0
2020-03-03,55.0,0.0
2020-03-04,56.0,0.0
2020-03-05,49.0,0.0
2020-03-06,79.0,1.0
2020-03-07,55.0,1.0
2020-03-08,54.0,0.0
2020-03-09,147.0,1.0
2020-03-10,258.0,4.0
2020-03-11,411.0,0.0
2020-03-12,489.0,2.0
2020-03-13,479.0,1.0
2020-03-14,364.0,19.0
2020-03-15,442.0,14.0
2020-03-16,612.0,22.0
2020-03-17,768.0,17.0
2020-03-18,999.0,34.0
2020-03-19,1055.0,46.0
2020-03-20,1254.0,32.0
2020-03-21,1197.0,58.0
2020-03-22,1376.0,36.0
2020-03-23,2335.0,76.0
2020-03-24,2371.0,148.0
2020-03-25,2693.0,191.0
2020-03-26,3084.0,181.0
2020-03-27,3201.0,288.0
2020-03-28,2822.0,292.0
2020-03-29,2857.0,212.0
2020-03-30,4273.0,374.0
2020-03-31,4515.0,403.0
2020-04-01,4914.0,672.0
2020-04-02,4865.0,657.0
2020-04-03,4915.0,736.0
2020-04-04,4020.0,756.0
